id;lrn;first_name;middle_name;last_name;ext_name;enrollment_date;birth_date;birth_place;contact_no;address_1;address_2;city;zip_code;country;nationality;mother_tongue;religion;fathers_last_name;fathers_middle_name;fathers_first_name;fathers_ext_name;fathers_occupation;fathers_contacts;mothers_last_name;mothers_middle_name;mothers_first_name;mothers_occupation;mothers_contacts;guardian_full_name;guardian_contacts;created_by;created_date;last_modified_by;last_modified_date
15;powerful leading familiar;Sergio;glaring irritably whoever;Brekke;gown neckl;2026-07-05T21:36:36;2026-07-05T17:54:15;low lack;slowly yahoo;enlist same rarely;gleefully outlying spice;Alexandrastad;00420;Canada;where until what;confute whoa;carnival;drat a shovel;recommendation analogy;who;the;gladly perp vivacious;considering verbally;who although concrete;outside gosh uncomfortable;ouch;murky inasmuch finally;knight but remark;bell unaccountably unzip;square;remand gasp geez;2026-07-05T21:54:24;brr guide;2026-07-06T14:55:27
16;scrap disk;Dena;smug;Rempel;inasmuch t;2026-07-05T20:04:14;2026-07-05T16:48:15;beside midwife;massage;among;lest uh-huh enthusiastically;Moreno Valley;25059-0541;Dominica;eventually worth meh;onto how;whenever;meh playfully sticky;moist knuckle;huzzah;sharply huzzah ugh;majority;overload;qua blissfully;hence;up raw cooperative;vision yowza oddly;oof;boo save;kettledrum;given;2026-07-05T20:59:32;as coast natural;2026-07-06T12:33:45
17;kindheartedly pack wheel;Armando;behind;Crooks;furthermor;2026-07-05T19:27:01;2026-07-06T01:26:12;worth harp;prudent deer;underneath hm;zowie buzzing;Port Guy;94218;Taiwan;well-to-do;and concerned worth;typeface wobbly tomorrow;thoughtfully;scowl char ick;kindheartedly;expensive;saw geez potable;zowie coarse shyly;slip;draft yum knowledgeably;likewise;around awful;since recount;ick;yowza whose modulo;nor instead eek;2026-07-05T20:30:26;keenly;2026-07-06T09:04:40
18;fray clone whose;Lucie;acknowledge microchip irritably;Upton;and furthe;2026-07-05T19:08:08;2026-07-06T14:54:21;as ew;monasticism ;openly yum;energetically into;North Zelma;93291-5085;Ghana;attribute abaft;ravioli;supposing relaunch electronics;tremendously regal;shakily;joyfully delectable easily;however;synergy yippee;shakily whoa beard;stump;menacing;with;frightfully sunny;yet;aboard;t-shirt upbeat consequently;selfishly;2026-07-06T03:02:06;larva without innocently;2026-07-06T01:48:48
19;while degenerate;Lloyd;yippee yowza;Reinger;whenever;2026-07-06T12:27:16;2026-07-06T12:58:32;bowling legging queasily;what among;singing;last accelerator as;Lake Meghan;92236;Isle of Man;lace alongside tall;chap victorious;tackle outfox gosh;uh-huh;crushing;complicated;flawed;underneath fold;ad section sadly;pleased;unhealthy tabletop between;blah yum;stupendous interviewer under;loudly;pigsty evenly oof;than pfft;aboard;2026-07-05T14:58:29;unlike;2026-07-05T23:21:17
20;woot toaster curry;Robyn;mutate;Monahan;athwart hy;2026-07-06T01:39:37;2026-07-06T12:56:30;maul;disadvantage;bore quizzically quietly;consequently;Lake Donna;53817-3795;Bosnia and Herzegovina;rubric perfectly;oof excitedly brr;royal;apostrophize where;helplessly;yippee helplessly;that;over during;onto pressure;yowza;faithfully;electrify;properly conservation;once;boo;forenenst miserable;boohoo sushi;2026-07-06T02:21:09;dulcimer carefully;2026-07-05T18:54:53
21;amid minus;Russell;bestride that drat;King;but queasi;2026-07-06T08:09:35;2026-07-06T14:51:14;factorise formal;ham soup;swanling whereas;tapioca;Lake Corrineton;56515;Central African Republic;absent and;deflate triumphantly;factorise blah till;scout;explode holster;aside;shadowy arcade;retrospectivity slink yearningly;frightfully sadly given;deceivingly angrily gastropod;reiterate yowza;ouch;long;and;hydrolyse yuck throughout;hoot;whispered scout uselessly;2026-07-06T03:23:13;silt loosely gosh;2026-07-06T02:28:01
22;ha;Audrey;clean gallivant complete;Veum;crushing m;2026-07-06T08:26:47;2026-07-05T15:42:01;rapidly cork;joyously bir;adaptation consequently unique;blank unto with;North Gerald;87249-5997;Azerbaijan;uh-huh mushy;rebuff enlightened;heavily;necessary bah narrowcast;pick sell than;scar;scarcely;remark wearily;by;oof;overconfidently;replacement;fooey permafrost;or;dream supplier;who libel;publicity drat;2026-07-05T15:20:16;meanwhile aha whether;2026-07-06T03:30:55
23;tabulate gee woot;Ressie;pitiful;Bosco;adaptation;2026-07-06T06:35:10;2026-07-06T14:45:47;yet e-mail switch;nightlife am;qua;aw generally provided;Rosemariemouth;85529;Democratic Republic of the Congo;aboard;classic come about;pfft left;sans outlaw lest;preside opposite;lazy;unwelcome following;frantically authentic vaguely;digitize supposing brr;overdub revitalise wetly;fatally gray outlandish;moor;apud;ha utterly;internal briskly dreamily;stall hunt since;fuzzy bootleg;2026-07-06T02:44:05;brr slowly consistency;2026-07-05T19:33:05
24;spork ick dispose;Pauline;because;Beahan;strictly;2026-07-06T09:39:35;2026-07-05T19:44:39;wisely;for above;glum;trouser good-natured;Timmyview;14191-5117;Christmas Island;searchingly critical;rewrite;fidget;embody;supposing apud;scope to;who;and immediately;possession dental;athwart aside per;blah separately forenenst;neglect instead;scientific than;beyond ack;roughly recompense;defensive bossy;puritan ethyl sick;2026-07-06T05:48:55;since transom psst;2026-07-05T21:49:29
25;gown up;Ramona;wafer;Romaguera;napkin;2026-07-06T12:56:26;2026-07-05T15:35:48;prime if considering;an thyme amu;highly baseboard;sheepishly amid those;Quincy;91626;Morocco;calmly;our archive provision;chip cheap whose;if;even;rural;whoever homeschool unnaturally;zowie;celebrate convalesce fervently;onto;unimpressively;nor blah below;wherever between bicycle;slipper whose consequently;dazzling;bludgeon;winding substitution sashay;2026-07-06T07:53:49;next whenever;2026-07-06T08:49:34
26;separately blah;Christiana;volunteer;Friesen;graft pro ;2026-07-06T13:49:53;2026-07-06T03:53:00;psst;cruelly;before phooey gosh;positively;New Glencester;89960;Åland Islands;on;fund ick french;quixotic;fill;merrily;unlike gosh;enlightened;terrorise;verbally;since jungle promptly;minus fooey ugh;once;nicely among;ugh whereas;duh bashfully;how unlined;beside preheat;2026-07-06T13:59:17;once hence;2026-07-05T22:17:57
27;even;Amari;over;Graham;agitated c;2026-07-06T03:42:43;2026-07-05T16:56:50;apropos;weary;ah readjust;yippee brr;Lorenafield;12166-2038;Bolivia;agitated after;self-confidence up;produce awful;almost;formation certainly;angrily furthermore;insistent;overplay um;larva;wherever woot rule;unless;woot by;exalt pleasant rubbery;duh square nor;monster straw;fluff prejudge;hence;2026-07-06T03:31:07;congregate certify joyfully;2026-07-05T19:13:16
28;sham digestive;Lupe;lazily;McCullough;emerge in;2026-07-06T03:12:43;2026-07-06T08:15:32;adumbrate fund taxicab;incidentally;concentration;ick;Smyrna;75253;Panama;lightly emboss;furthermore tool until;around pro;cute but intermesh;yahoo;phooey;how;reconsideration rosy gah;whether;afford faraway;after upwardly;thorough yieldingly relieve;portray;electric wire whether;pivot by kookily;annual;after thoughtfully carouse;2026-07-05T18:02:02;inasmuch bitterly;2026-07-06T07:40:20
29;phew duffel;Amber;ick fashion incomparable;Rath;beyond zow;2026-07-05T16:45:07;2026-07-06T06:28:55;a that;without fooe;hm;yellowish;West Yvonne;55313-9441;Gambia;handy;ouch although;anenst;casket why;till;next;defensive;against political amnesty;eventually instead;yet;reorganisation loosely;offensively cutover supposing;before travel per;midst;not reluctantly nucleotidase;aw jovially official;repentant whenever;2026-07-05T23:30:01;vice what;2026-07-05T18:03:57
30;behind;Marlene;since toward modulo;Halvorson;an;2026-07-06T11:12:48;2026-07-06T04:38:04;whoever;responsible;source;what;South Dakota;68131-6025;Egypt;sternly drat;when;now boohoo pish;hole mid;gratefully opposite joyously;along tectonics;meanwhile lace;halt;cantaloupe sans;chunter excepting repeatedly;gadzooks slip;until gently;till drat punctuation;chapel that pish;zany;mechanic meaningfully ouch;wherever rubric;2026-07-06T11:42:50;peninsula french musty;2026-07-06T00:45:03
